# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
66, generated066.png, generated067.png, 1, 248.737, 375.813, 207.155, 401.490, 227.874, 388.696, -0.850847, 0.525413, 48.871, 2.588392, 1441
67, generated067.png, generated068.png, 1, 741.700, 250.477, 603.906, 222.462, 675.578, 237.034, -0.979953, -0.199229, 140.613, -2.941021, 5131
68, generated068.png, generated069.png, 1, 110.382, 177.532, 157.649, 232.441, 134.835, 205.939, 0.652396, 0.757878, 72.451, 0.860055, 1384
69, generated069.png, generated070.png, 1, 252.288, 491.411, 194.941, 517.100, 225.285, 503.507, -0.912616, 0.408819, 62.838, 2.720433, 1745
70, generated070.png, generated071.png, 1, 220.956, 324.859, 109.738, 359.800, 166.427, 341.990, -0.954024, 0.299731, 116.577, 2.837182, 8015
71, generated071.png, generated072.png, 1, 41.297, 540.877, 64.510, 597.093, 52.135, 567.124, 0.381665, 0.924301, 60.820, 1.179200, 1937
72, generated072.png, generated073.png, 1, 487.014, 132.208, 406.034, 137.516, 444.863, 134.971, -0.997859, 0.065405, 81.154, 3.076141, 1108
73, generated073.png, generated074.png, 1, 257.952, 351.528, 133.898, 305.235, 211.906, 334.345, -0.936891, -0.349621, 132.410, -2.784426, 6572
74, generated074.png, generated075.png, 1, 737.074, 452.808, 740.428, 594.203, 738.701, 521.392, 0.023714, 0.999719, 141.435, 1.547080, 2929
76, generated076.png, generated077.png, 1, 728.503, 498.603, 672.137, 569.107, 700.860, 533.179, -0.624446, 0.781068, 90.266, 2.245218, 3600
77, generated077.png, generated078.png, 1, 538.454, 225.049, 519.414, 287.733, 528.823, 256.755, -0.290631, 0.956835, 65.512, 1.865682, 1881
78, generated078.png, generated079.png, 1, 424.623, 24.511, 298.342, 43.657, 365.344, 33.498, -0.988701, 0.149900, 127.724, 2.991126, 4353
80, generated080.png, generated081.png, 1, 40.363, 157.881, 55.038, 449.998, 47.596, 301.851, 0.050172, 0.998741, 292.485, 1.520604, 7314
81, generated081.png, generated082.png, 1, 370.494, 500.486, 363.342, 566.685, 366.806, 534.622, -0.107412, 0.994215, 66.585, 1.678416, 2188
82, generated082.png, generated083.png, 1, 753.257, 26.051, 710.199, -0.325, 733.020, 13.654, -0.852720, -0.522368, 50.494, -2.591967, 1018
83, generated083.png, generated084.png, 1, 14.060, 266.975, 9.402, 445.246, 11.724, 356.394, -0.026120, 0.999659, 178.331, 1.596920, 3917
84, generated084.png, generated085.png, 1, 424.917, 402.703, 436.108, 474.983, 430.612, 439.485, 0.153010, 0.988225, 73.141, 1.417183, 2155
85, generated085.png, generated086.png, 1, 15.043, 205.926, 18.614, 304.652, 16.918, 257.759, 0.036139, 0.999347, 98.791, 1.534649, 3309
86, generated086.png, generated087.png, 1, 478.830, 534.859, 430.330, 593.445, 453.149, 565.880, -0.637680, 0.770302, 76.056, 2.262279, 1781
87, generated087.png, generated088.png, 1, 494.960, 9.886, 429.961, 9.620, 462.323, 9.752, -0.999992, -0.004088, 64.999, -3.137504, 1256
88, generated088.png, generated089.png, 1, 18.385, 206.528, 46.970, 293.990, 32.497, 249.706, 0.310663, 0.950520, 92.015, 1.254906, 2883
90, generated090.png, generated091.png, 1, 171.937, 240.101, -5.072, 331.137, 73.844, 290.550, -0.889282, 0.457359, 199.048, 2.666570, 4153
91, generated091.png, generated092.png, 1, 406.743, 556.421, 355.512, 579.153, 381.992, 567.404, -0.914064, 0.405570, 56.048, 2.723990, 887
92, generated092.png, generated093.png, 1, 428.862, 263.756, 373.201, 215.321, 401.734, 240.150, -0.754377, -0.656441, 73.783, -2.425502, 2125
93, generated093.png, generated094.png, 1, 67.236, 291.115, -0.136, 305.356, 34.146, 298.109, -0.978382, 0.206805, 68.860, 2.933284, 1190
94, generated094.png, generated095.png, 1, 414.612, 527.709, 360.860, 543.861, 387.330, 535.907, -0.957696, 0.287783, 56.127, 2.849682, 2041
95, generated095.png, generated096.png, 1, 59.729, 322.854, 31.300, 404.003, 43.498, 369.183, -0.330630, 0.943760, 85.985, 1.907767, 2115
96, generated096.png, generated097.png, 1, 312.208, 519.117, 241.338, 538.592, 277.119, 528.759, -0.964255, 0.264977, 73.497, 2.873412, 3528
97, generated097.png, generated098.png, 1, 448.308, 387.279, 389.511, 343.619, 419.282, 365.726, -0.802859, -0.596170, 73.235, -2.502871, 2480
98, generated098.png, generated099.png, 1, 145.254, 292.293, 55.265, 331.606, 99.294, 312.371, -0.916372, 0.400328, 98.202, 2.729718, 1734
99, generated099.png, generated100.png, 1, 340.458, 469.501, 355.798, 516.741, 348.571, 494.484, 0.308836, 0.951115, 49.668, 1.256827, 1060
100, generated100.png, generated101.png, 1, 379.960, 249.468, 368.053, 339.875, 374.246, 292.851, -0.130570, 0.991439, 91.188, 1.701740, 3442
101, generated101.png, generated102.png, 1, 681.228, 412.919, 601.918, 364.783, 641.826, 389.005, -0.854867, -0.518846, 92.775, -2.596092, 2400
102, generated102.png, generated103.png, 1, 487.520, 301.064, 443.691, 269.642, 465.409, 285.212, -0.812715, -0.582661, 53.929, -2.519594, 1339
103, generated103.png, generated104.png, 1, 339.095, 326.046, 290.827, 328.298, 314.956, 327.172, -0.998913, 0.046623, 48.321, 3.094953, 1091
