# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
273, generated273.png, generated274.png, 1, 338.755, 534.335, 319.058, 519.921, 328.171, 526.589, -0.806996, -0.590557, 24.408, -2.509844, 129
274, generated274.png, generated275.png, 1, 198.683, 148.998, 188.620, 172.268, 194.190, 159.389, -0.396920, 0.917853, 25.353, 1.978955, 306
275, generated275.png, generated276.png, 1, 423.062, 551.804, 374.963, 555.527, 397.735, 553.765, -0.997018, 0.077172, 48.243, 3.064344, 204
276, generated276.png, generated277.png, 1, 698.124, 489.656, 660.161, 496.847, 679.632, 493.159, -0.982529, 0.186112, 38.639, 2.954390, 220
277, generated277.png, generated278.png, 1, 250.985, 6.915, 186.956, 7.791, 210.164, 7.474, -0.999906, 0.013676, 64.035, 3.127916, 477
278, generated278.png, generated279.png, 1, 214.082, 293.889, 186.943, 296.379, 200.166, 295.166, -0.995819, 0.091352, 27.253, 3.050113, 151
279, generated279.png, generated280.png, 1, 482.356, 487.770, 453.471, 502.899, 468.720, 494.912, -0.885859, 0.463954, 32.607, 2.659139, 250
280, generated280.png, generated281.png, 1, 659.855, 571.648, 625.769, 564.036, 641.798, 567.615, -0.975957, -0.217962, 34.926, -2.921867, 104
281, generated281.png, generated282.png, 1, 346.908, 89.445, 304.078, 80.620, 327.310, 85.407, -0.979424, -0.201811, 43.730, -2.938386, 113
282, generated282.png, generated283.png, 1, 298.043, 6.966, 218.972, 3.659, 260.098, 5.379, -0.999127, -0.041783, 79.140, -3.099798, 417
283, generated283.png, generated284.png, 1, 550.010, 407.933, 512.735, 427.407, 532.936, 416.853, -0.886331, 0.463051, 42.055, 2.660158, 251
284, generated284.png, generated285.png, 1, 251.756, 8.354, 219.789, 20.443, 232.574, 15.608, -0.935349, 0.353728, 34.176, 2.780039, 204
285, generated285.png, generated286.png, 1, 740.050, 435.293, 706.024, 436.616, 725.167, 435.872, -0.999245, 0.038851, 34.052, 3.102732, 203
286, generated286.png, generated287.png, 1, 742.097, 534.732, 693.653, 517.197, 719.412, 526.521, -0.940301, -0.340344, 51.520, -2.794310, 718
287, generated287.png, generated288.png, 1, 667.958, 487.565, 629.928, 491.257, 649.163, 489.389, -0.995321, 0.096621, 38.209, 3.044821, 190
288, generated288.png, generated289.png, 1, 729.055, 428.691, 690.678, 443.731, 710.279, 436.050, -0.931052, 0.364887, 41.218, 2.768081, 222
289, generated289.png, generated290.png, 1, 442.347, 499.928, 447.716, 525.852, 445.033, 512.897, 0.202805, 0.979219, 26.474, 1.366575, 184
290, generated290.png, generated291.png, 1, 226.122, 288.377, 197.229, 297.708, 211.039, 293.248, -0.951607, 0.307318, 30.362, 2.829219, 206
291, generated291.png, generated292.png, 1, 741.984, 228.768, 713.981, 230.720, 728.683, 229.695, -0.997577, 0.069568, 28.071, 3.071968, 82
292, generated292.png, generated293.png, 1, 251.000, 67.015, 215.012, 66.340, 232.142, 66.661, -0.999824, -0.018763, 35.994, -3.122828, 127
293, generated293.png, generated294.png, 1, 629.657, 118.979, 630.350, 141.020, 630.042, 131.217, 0.031439, 0.999506, 22.052, 1.539352, 120
294, generated294.png, generated295.png, 1, 682.900, 70.527, 657.103, 89.800, 671.599, 78.970, -0.801108, 0.598520, 32.201, 2.499941, 232
295, generated295.png, generated296.png, 1, 439.010, 248.190, 404.996, 249.920, 421.685, 249.071, -0.998709, 0.050788, 34.058, 3.090783, 127
296, generated296.png, generated297.png, 1, 297.595, 210.758, 284.222, 233.133, 290.823, 222.089, -0.513037, 0.858366, 26.067, 2.109516, 79
297, generated297.png, generated298.png, 1, 39.802, 511.418, 14.960, 519.882, 27.533, 515.598, -0.946561, 0.322526, 26.244, 2.813196, 107
298, generated298.png, generated299.png, 1, 134.282, 257.012, 133.043, 285.046, 133.619, 272.007, -0.044163, 0.999024, 28.061, 1.614973, 147
299, generated299.png, generated300.png, 1, 667.689, 41.494, 632.016, 63.397, 653.144, 50.424, -0.852189, 0.523234, 41.861, 2.590951, 250
300, generated300.png, generated301.png, 1, 531.055, 415.152, 509.937, 422.825, 520.253, 419.077, -0.939880, 0.341504, 22.470, 2.793076, 91
301, generated301.png, generated302.png, 1, 705.094, 72.503, 676.953, 77.746, 690.606, 75.202, -0.983081, 0.183173, 28.625, 2.957380, 94
302, generated302.png, generated303.png, 1, 625.999, 450.072, 581.007, 449.487, 603.525, 449.780, -0.999915, -0.013004, 44.996, -3.128589, 177
303, generated303.png, generated304.png, 1, 432.616, 128.314, 447.955, 147.037, 441.082, 138.648, 0.633745, 0.773542, 24.203, 0.884411, 122
304, generated304.png, generated305.png, 1, 293.681, 481.768, 277.336, 504.244, 286.453, 491.707, -0.588140, 0.808759, 27.791, 2.199553, 150
305, generated305.png, generated306.png, 1, 373.030, 427.164, 346.992, 426.232, 361.790, 426.762, -0.999360, -0.035781, 26.055, -3.105804, 105
306, generated306.png, generated307.png, 1, 373.673, 4.019, 339.960, 0.368, 361.237, 2.672, -0.994184, -0.107691, 33.910, -3.033693, 177
307, generated307.png, generated308.png, 1, 1.816, 212.017, 2.335, 248.967, 2.088, 231.409, 0.014041, 0.999901, 36.954, 1.556755, 181
308, generated308.png, generated309.png, 1, 395.989, 574.877, 376.966, 576.630, 385.513, 575.842, -0.995780, 0.091769, 19.103, 3.049695, 76
309, generated309.png, generated310.png, 1, 450.352, 177.525, 433.013, 194.014, 442.130, 185.345, -0.724651, 0.689116, 23.927, 2.381324, 177
